short_alias,building_id,height,norm_height,superficie,norm_superficie,floors_est,units_est_meters,units_est_volume,pop_est
MELO-044,3945,2.33,2.33,24.26,24.26,1,0,1,9
MELO-043,4642,0.0,11.11,198.67,198.67,4,9,8,9
MELO-045,12819,21.85,21.85,1159.52,1159.52,7,0,70,9
MELO-042,15055,16.479999999999997,16.479999999999997,184.63,184.63,6,8,12,9
MELO-040,4645,12.24,12.24,38.28,38.28,4,3,4,4
MELO-041,4648,13.540000000000001,13.540000000000001,191.41,191.41,5,11,10,4
MELO-038,7046,13.19,13.19,61.42,61.42,5,3,5,4
MELO-019,7047,8.63,8.63,91.68,91.68,3,1,3,4
MELO-039,11387,0.0,11.91,37198.49,61.56,4,3,4,4
MELO-021,11391,0.0,13.26,37299.77,84.81,5,5,5,4
MELO-020,12824,0.0,12.79,55.41,55.41,4,2,4,4
MELO-028,4651,12.219999999999999,12.219999999999999,342.78,342.78,4,12,12,15
MELO-006,4662,11.42,11.42,73.27,73.27,4,1,4,15
MELO-027,15054,17.830000000000002,17.830000000000002,622.81,622.81,6,36,30,15
MELO-029,4653,12.1,12.1,246.72,246.72,4,5,8,4
MELO-002,4656,9.209999999999999,9.209999999999999,174.92,174.92,3,2,6,2
MELO-001,4659,12.219999999999999,12.219999999999999,204.57,204.57,4,0,8,2
MELO-046,15048,0.0,14.66,53.23,53.23,5,11,5,2
MELO-047,15049,0.0,14.41,87.54,87.54,5,0,5,2
MELO-048,15050,0.0,14.33,90.0,90.0,5,0,5,2
MELO-030,15051,0.0,13.43,74.59,74.59,5,0,5,2
MELO-004,15052,0.0,12.89,62.43,62.43,5,3,5,2
MELO-003,15053,0.0,11.82,83.31,83.31,4,4,4,2
MELO-005,4665,13.96,13.96,47.4,47.4,5,3,5,2
MELO-031,4668,12.610000000000001,12.610000000000001,57.55,57.55,4,1,4,2
MELO-032,4671,12.38,12.38,58.84,58.84,4,3,4,2
MELO-033,4674,12.05,12.05,80.95,80.95,4,3,4,2
MELO-012,7039,14.69,14.69,267.14,267.14,5,4,15,3
MELO-023,7043,16.65,16.65,118.03,118.03,6,3,6,3
MELO-024,7044,15.65,15.65,132.56,132.56,5,18,10,3
MELO-011,7045,11.8,11.8,238.74,238.74,4,0,8,3
MELO-009,7147,0.0,14.92,34.31,34.31,5,2,5,3
MELO-010,7148,14.950000000000001,14.950000000000001,71.99,71.99,5,0,5,3
MELO-026,11395,0.0,15.07,37407.71,203.49,5,8,10,3
MELO-007,11398,0.0,14.5,37547.79,54.9,5,4,5,3
MELO-022,12821,0.0,14.87,47.25,47.25,5,0,5,3
MELO-008,12822,15.53,15.53,70.09,70.09,5,0,5,3
MELO-025,12823,0.0,15.97,49.59,49.59,5,1,5,3
MELO-013,7040,14.15,14.15,415.9,415.9,5,0,20,2
MELO-014,7041,14.55,14.55,179.77,179.77,5,2,10,2
MELO-015,7042,14.55,14.55,195.34,195.34,5,2,10,2
MELO-018,7048,18.099999999999998,18.099999999999998,383.42,383.42,6,12,24,8
MELO-016,7146,16.07,16.07,327.32,327.32,6,1,18,8
MELO-017,12820,18.15,18.15,372.47,372.47,6,12,18,8
MELO-037,11382,0.0,11.21,37142.51,82.16,4,3,4,2
MELO-036,15056,12.13,12.13,61.03,61.03,4,1,4,2
MELO-035,15057,0.0,14.13,51.42,51.42,5,3,5,2
MELO-034,15058,0.0,13.99,50.69,50.69,5,1,5,2
ZACC-038,5149,11.08,11.08,93.89,93.89,4,0,4,2
ZACC-036,5150,0.0,10.46,109.04,109.04,4,3,4,2
ZACC-041,5312,10.4,10.4,147.0,147.0,4,4,8,2
ZACC-040,5313,11.149999999999999,11.149999999999999,22.19,22.19,4,0,4,2
ZACC-042,5314,13.549999999999999,13.549999999999999,132.45,132.45,5,0,10,2
ZACC-043,5315,9.950000000000001,9.950000000000001,110.59,110.59,4,6,4,2
ZACC-044,5316,12.47,12.47,417.73,417.73,4,0,16,2
ZACC-065,5317,13.24,13.24,244.92,244.92,5,9,10,2
ZACC-063,5318,17.64,17.64,359.32,359.32,6,13,18,2
ZACC-003,5319,14.53,14.53,576.78,576.78,5,0,25,2
ZACC-048,5320,17.720000000000002,17.720000000000002,179.93,179.93,6,9,12,2
ZACC-047,5321,14.520000000000001,14.520000000000001,125.67,125.67,5,3,10,2
ZACC-046,5322,8.540000000000001,8.540000000000001,32.08,32.08,3,0,3,2
ZACC-045,5323,9.05,9.05,88.66,88.66,3,4,3,2
ZACC-049,5324,0.0,12.29,202.96,202.96,4,9,8,2
ZACC-068,5325,0.0,9.87,389.97,389.97,4,1,16,2
ZACC-069,5326,4.45,4.45,55.41,55.41,2,0,2,2
ZACC-001,5327,5.0200000000000005,5.0200000000000005,266.1,266.1,2,7,6,2
ZACC-002,5328,13.219999999999999,13.219999999999999,243.0,243.0,5,0,10,2
ZACC-051,5331,11.7,11.7,768.17,768.17,4,0,28,2
ZACC-062,7591,11.22,11.22,375.04,375.04,4,1,16,2
ZACC-032,7592,0.0,9.68,192.43,192.43,4,0,8,2
ZACC-031,7593,11.37,11.37,214.74,214.74,4,0,8,2
ZACC-059,7594,8.25,8.25,73.87,73.87,3,4,3,2
ZACC-060,7595,12.43,12.43,74.39,74.39,4,0,4,2
ZACC-061,7597,11.280000000000001,11.280000000000001,74.67,74.67,4,3,4,2
ZACC-035,7598,0.0,9.94,25.61,25.61,4,0,4,2
ZACC-037,7599,10.049999999999999,10.049999999999999,95.33,95.33,4,0,4,2
ZACC-027,7600,9.35,9.35,74.01,74.01,3,0,3,2
ZACC-028,7602,10.13,10.13,103.86,103.86,4,0,4,2
ZACC-029,7603,14.200000000000001,14.200000000000001,98.62,98.62,5,0,5,2
ZACC-025,7604,4.46,4.46,28.74,28.74,2,0,2,2
ZACC-023,7605,13.75,13.75,64.29,64.29,5,0,5,2
ZACC-022,7606,14.25,14.25,73.52,73.52,5,1,5,2
ZACC-017,7607,10.04,10.04,187.71,187.71,4,0,8,2
ZACC-019,7608,19.43,19.43,71.39,71.39,7,4,7,2
ZACC-016,7609,11.780000000000001,11.780000000000001,127.47,127.47,4,0,8,2
ZACC-075,7622,14.8,14.8,181.11,181.11,5,4,10,2
ZACC-074,7623,15.83,15.83,185.29,185.29,5,0,10,2
ZACC-072,7624,15.450000000000001,15.450000000000001,110.1,110.1,5,0,5,2
ZACC-073,7625,15.31,15.31,122.56,122.56,5,1,5,2
ZACC-013,7628,0.0,10.38,431.38,431.38,4,3,16,2
ZACC-039,7629,0.0,11.14,40.01,40.01,4,0,4,2
ZACC-052,7630,8.569999999999999,8.569999999999999,43.46,43.46,3,0,3,2
ZACC-053,7631,6.42,6.42,210.43,210.43,3,5,6,2
ZACC-007,7632,7.419999999999999,7.419999999999999,85.12,85.12,3,0,3,2
ZACC-006,7633,5.39,5.39,22.26,22.26,2,0,2,2
ZACC-004,7634,3.4499999999999997,3.4499999999999997,6.86,6.86,2,0,2,2
ZACC-005,7635,7.219999999999999,7.219999999999999,154.38,154.38,3,0,6,2
ZACC-026,7697,3.15,3.15,42.32,42.32,1,0,1,2
ZACC-030,7698,15.639999999999999,15.639999999999999,132.07,132.07,5,4,10,2
ZACC-015,7711,13.33,13.33,443.21,443.21,5,0,20,2
ZACC-014,7712,9.41,9.41,56.76,56.76,3,0,3,2
ZACC-020,7713,9.41,9.41,115.03,115.03,3,0,3,2
ZACC-018,7714,6.8100000000000005,6.8100000000000005,62.4,62.4,3,0,3,2
ZACC-021,7715,0.0,13.98,35.03,35.03,5,0,5,2
ZACC-058,7724,8.5,8.5,126.54,126.54,3,1,6,2
ZACC-071,7730,3.4499999999999997,3.4499999999999997,13.21,13.21,2,0,2,2
ZACC-012,7741,5.87,5.87,44.61,44.61,2,0,2,2
ZACC-034,7742,7.26,7.26,19.92,19.92,3,0,3,2
ZACC-033,7743,8.700000000000001,8.700000000000001,35.82,35.82,3,1,3,2
ZACC-066,7748,8.69,8.69,19.95,19.95,3,0,3,2
ZACC-054,7751,7.82,7.82,458.0,458.0,3,32,12,2
ZACC-024,7752,7.77,7.77,19.86,19.86,3,0,3,2
ZACC-009,7782,0.0,7.89,707.01,707.01,3,0,18,2
ZACC-008,7783,0.0,6.14,1060.63,1060.63,2,0,18,2
ZACC-067,14704,13.8,13.8,382.81,382.81,5,4,20,2
ZACC-050,14707,0.0,12.39,211.36,211.36,4,4,8,2
ZACC-064,14710,18.64,18.64,305.45,305.45,6,10,18,2
ZACC-070,15433,0.0,13.82,3418.21,3418.21,5,0,140,2
ZACC-057,7580,10.49,10.49,222.14,222.14,4,1,8,3
ZACC-055,7696,19.15,19.15,811.32,811.32,6,0,42,3
ZACC-011,7626,18.349999999999998,18.349999999999998,509.47,509.47,6,0,30,0
ZACC-010,7627,3.4499999999999997,3.4499999999999997,103.02,103.02,2,0,2,0
ZACC-056,7695,6.75,6.75,14.47,14.47,3,0,3,0
